Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
TagZ Foods,2019.0,Bangaluru,Food,TagZ Foods is a supplier of snacks and food products.,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",,Seed,,Bangaluru,India
Genius Teacher,2016.0,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2000000 ,Seed,,Mumbai,India
Krimanshi Feeds,2015.0,Jodhpur,Nutrition sector,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",500000 ,Seed,,Jodhpur,India
Origo,2010.0,Gurugram,AgriTech,Provider of marketing and warehousing services for agricultural commodities.,"Sunoor Kaul,",Northern Arc Capital,4000000 ,Debt,,Gurugram,India
GetVantage,2019.0,Mumbai,FinTech,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000 ,Seed,,Mumbai,India
Betterplace,2015.0,Bangaluru,Tech,Developer of a digital verification platform designed to manage the semi-formal workforce.,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,10000000 ,Series B,,Bangaluru,India
Biddano,2016.0,Mumbai,Healthcare,India's 1st tech-enabled healthcare logistics platform.,Talha Shaikh,Windrose Capital,600000 ,Pre-Series A,,Mumbai,India
InVideo,2017.0,Mumbai,Video,InVideo enables you to transform your content into great videos.,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000 ,Series A,,Mumbai,India
Arzooo,2016.0,Bangaluru,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000 ,Series A,,Bangaluru,India
Hubilo,2020.0,"California, United States",Tech,World’s smartest virtual event platform that brings Experience & Intelligence together,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000 ,Seed,,California, United States
BASIC Home Loan,2020.0,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",Atul Monga,Picus Capital,5000000 ,Seed,,Gurugram,India
Ketos,2015.0,"California, United States",AI,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",18000000 ,Seed,,California, United States
SUGAR cosmetics,2012.0,Mumbai,Cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2000000 ,Debt,,Mumbai,India
Signzy,2015.0,Bangaluru,FinTech,It is creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners",5400000 ,Seed,,Bangaluru,India
Ahaguru,2012.0,Chennai,Edtech,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.","Gomathi S, Dr Balaji Sampath",Anand Mahindra,,Series A,,Chennai,India
Tekion,2016.0,"California, United States",AI,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000 ,Series C,,California, United States
Brighteye Ventures,2017.0,"Paris, France",Edtech,Education technology venture capital firm.,David guerin,Tandem,5400000 ,Seed,,Paris, France
EzeRx,2018.0,Kolkata,Medtech,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000 ,Seed,,Kolkata,India
VitalTech,2018.0,"Texas, United States",HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000 ,Seed,,Texas, United States
Genius Teacher,2016.0,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000 ,Seed,,Mumbai,India
Ultraviolette Automotive,2014.0,Bangaluru,Automobile,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000 ,Series B,,Bangaluru,India
Tring,2019.0,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.","Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh",,Seed,,Mumbai,India
Rare Planet,2015.0,Kolkata,Retail,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000 ,Pre-Series A,,Kolkata,India
GoodGamer,2020.0,Bangaluru,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,Undisclosed,2500000 ,Seed,,Bangaluru,India
InnAccel,2012.0,Bangaluru,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000 ,Pre-Series A,,Bangaluru,India
Tiliter,2017.0,"Sydney, Australia",Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",7500000 ,Seed,,Sydney, Australia
Slintel,2016.0,"California, United States",Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",4200000 ,Seed,,California, United States
SoOLEGAL,2015.0,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul,Undisclosed,4000000 ,Seed,,New Delhi,India
HobSpace,2019.0,Mumbai,Edtech,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000 ,Seed,,Mumbai,India
Supplynote,2015.0,Noida,SaaS,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000 ,Seed,,Noida,India
Hire Me Car,2015.0,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,Undisclosed,,Seed,,Noida,India
ShopUp,2017.0,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000 ,Series A,,Bangaldesh,India
Harmonizer India,2019.0,Bangaluru,Tech,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,,Seed,,Bangaluru,India
Zomato,2008.0,Gurugram,FoodTech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000 ,Seed,,Gurugram,India
Dukaan,2020.0,Mumbai,Tech,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000 ,Seed,,Mumbai,India
CredR,2014.0,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2000000 ,Seed,,Mumbai,India
Satyukt,2018.0,Bangaluru,AgriTech,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000 ,Seed,,Bangaluru,India
RACEnergy,2018.0,Hyderabad,Automobile,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",,Seed,,Hyderabad,India
TREAD,2020.0,Bangaluru,Fitness,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000 ,Pre-Seed,,Bangaluru,India
Anveshan,2019.0,Bangaluru,FoodTech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000 ,Pre-Seed,,Bangaluru,India
TeaMonk,2016.0,Bangaluru,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000 ,Pre-Series A,,Bangaluru,India
Fleetx,2017.0,Gurugram,Tech,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000 ,Pre-Series B,,Gurugram,India
ReNEWate,2018.0,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,,Pre-Seed,,Pune,India
Tango Eye,2018.0,Chennai,SaaS,Retail Video Analytics SaaS product,Surender Gounder,"Riso Investments, Lenskart",,Seed,,Chennai,India
Rare Planet,2015.0,Kolkata,Reatil,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,,Pre-Series A,,Kolkata,India
Avataa Me,2014.0,Bangaluru,AR,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000 ,Series A,,Bangaluru,India
Arrival,2015.0,"England, United Kingdom",EV,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",118000000 ,Seed,,England, United Kingdom
Cover Genius,2014.0,"Sydney, Australia",FinTech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital",15000000 ,Seed,,Sydney, Australia
Phononic Vibes,2018.0,"Lombardia, Italy",Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",Undisclosed,2300000 ,Seed,,Lombardia, Italy
MikeLegal,2017.0,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian",,Seed,,Gurugram,India
Clair,2019.0,"New York, United States",FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000 ,Seed,,New York, United States
Gourmet Garden,1999.0,"Queensland, Australia",Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Arjun Balaji,Advent Partners,,Seed,,Queensland, Australia
Miko,2015.0,Mumbai,AI,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000 ,Pre-Series B,,Mumbai,India
Razorpay,2014.0,Bangaluru,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000 ,Series D,,Bangaluru,India
Ninjacart,2015.0,Bangaluru,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",30000000 ,Seed,,Bangaluru,India
Wow! Momo,2008.0,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000 ,Debt,,Kolkata,India
Pepper Content,2017.0,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000 ,Series A,,Mumbai,India
LIVSPACE,2014.0,Bangaluru,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000 ,Debt,,Bangaluru,India
Acculi Labs,2017.0,Bangaluru,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000 ,Seed,,Bangaluru,India
Your MD,2012.0,"England, United Kingdom",Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital",25000000 ,Seed,,England, United Kingdom
Antaios,2016.0,"Paris, France",Tech,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,Undisclosed,11000000 ,Seed,,Paris, France
Unnati,2017.0,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000 ,Pre-Series A,,Noida,India
Disprz,2015.0,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",1600000 ,Pre-Series B,,Chennai,India
Uni,2015.0,Mumbai,FinTech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000 ,Seed,,Mumbai,India
Credit Wise Capital,1994.0,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000 ,Seed,,Mumbai,India
Chargebee,2011.0,"California, United States",SaaS,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000 ,Series F,,California, United States
Reliance Retail Ventures Ltd,2006.0,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"Silver Lake, Mubadala Investment Company",70000000000 ,Seed,,Mumbai,India
Winuall,2019.0,Bangaluru,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani",2000000 ,Seed,,Bangaluru,India
Genrobotics,2015.0,Trivandrum,AI,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,300000 ,Seed,,Trivandrum,India
Livve,2015.0,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,Undisclosed,1500000 ,Seed,,Cochin,India
Ergos,2012.0,"Samastipur, Bihar",AgriTech,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000 ,Series A,,Samastipur, Bihar
Krishitantra,2017.0,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000 ,Seed,,Hyderabad,India
PakkaProfile,2019.0,Bangaluru,Recruitment,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,,Seed,,Bangaluru,India
Monet Networks,2014.0,"California, United States",AI,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus",500000 ,Bridge,,California, United States
Unocoin,2013.0,Tumkur,FinTech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub",,Series A,,Tumkur,India
Pesto,2017.0,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",,Seed,,New Delhi,India
NirogStreet,2016.0,Gurugram,Ayurveda,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000 ,Pre-Series A,,Gurugram,India
Bambrew,2018.0,Bangaluru,Packaging solution,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,,Pre-Seed,,Bangaluru,India
Omnify,2016.0,"California, United States",SaaS,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",,Pre-Series A,,California, United States
Fanball XI,2015.0,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000 ,Seed,,New Delhi,India
Treebo Hotels,2015.0,Bangaluru,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000 ,Seed,,Bangaluru,India
GPS Renewables,2010.0,Bangaluru,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000 ,Series A,,Bangaluru,India
Public,2019.0,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000 ,Seed,,New Delhi,India
Legal Salah,2015.0,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000 ,Seed,,Kolkata,India
FanPlay,2018.0,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",,Seed,,New Delhi,India
ECOSTP,2017.0,Bangaluru,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,19000000 ,Seed,,Bangaluru,India
Coralogix,2013.0,"California, United States",SaaS,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000 ,Series B,,California, United States
Equiwatt,2015.0,"Newcastle Upon Tyne, United Kingdom",Tech,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,300000 ,Seed,,Newcastle Upon Tyne, United Kingdom
Reliance Retail Ventures,2006.0,Mumbai,E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts",800000000 ,Seed,,Mumbai,India
Zhangmen,2005.0,"Shanghai, China",Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,"CICC Alpha, VMS Asset Management",400000000 ,Seed,,Shanghai, China
AgroWave,2017.0,Gurugram,AgriTech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000 ,Seed,,Gurugram,India
Sapio Analytics,2018.0,Mumbai,Tech,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",Undisclosed,150000 ,Seed,,Mumbai,India
Taimei,2013.0,"Zhejiang, China",HealthCare,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,"Cowin Venture, ZSVC",176000000 ,Seed,,Zhejiang, China
Avanse Financial Services,2012.0,Mumbai,FinTech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International Finance Corporation,15000000 ,Seed,,Mumbai,India
Industry Buying,2013.0,New Delhi,E-commerce,India's largest industrial ecommerce platform,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT",15000000 ,Seed,,New Delhi,India
Hopscotch,2011.0,Mumbai,E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Rahul Anand,"Marc Lore, Rise Capital",25000000 ,Seed,,Mumbai,India
Pristyn Care,2018.0,Gurugram,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",11000000 ,Seed,,Gurugram,India
WoodenStreet,2015.0,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund",1000000 ,Seed,,Rajastan,India
ACKO,2016.0,Mumbai,InsureTech,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",60000000 ,Seed,,Mumbai,India
Farmers Fresh Zone,2015.0,Kochi,AgriTech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",470000 ,Seed,,Kochi,India
Invento,2016.0,Bangaluru,AI,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",,Seed,,Bangaluru,India
Infurnia,2014.0,Bangaluru,Tech,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",240000 ,Seed,,Bangaluru,India
AnalytIQSports's SuperCric,2019.0,Bangaluru,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",Undisclosed,,Seed,,Bangaluru,India
Snowflake,2012.0,"California, United States",Tech,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",3000000000 ,Seed,,California, United States
GenieTalk,2016.0,Indore,Tech,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",Undisclosed,750000 ,Seed,,Indore,India
Classplus,2018.0,Noida,EdTech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000 ,Seed,,Noida,India
Mobile Premier League,2018.0,Bangaluru,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",74000000 ,Seed,,Bangaluru,India
Fourth Partner Energy,2010.0,Hyderabad,Solar solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",16000000 ,Seed,,Hyderabad,India
Flipkart,2007.0,Bangaluru,E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",62000000 ,Seed,,Bangaluru,India
Vivriti Capital,2017.0,Chennai,FinTech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",1000000 ,Seed,,Chennai,India
InsuranceDekho,2017.0,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,20000000 ,Seed,,Ludhiana,India
BestDoc,2016.0,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",Undisclosed,2100000 ,Seed,,Kochi,India
Byju’s,2011.0,Bangaluru,EdTech,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000 ,Seed,,Bangaluru,India
Melorra,2015.0,Bangaluru,Jewellery,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",12500000 ,Seed,,Bangaluru,India
Reliance,1973.0,Mumbai,Multinational conglomerate,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake",2200000000 ,Seed,,Mumbai,India
Inflexor Ventures,2020.0,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",Undisclosed,10000000 ,Seed,,Mumbai,India
Pandorum,2011.0,Bangaluru,Deeptech,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000 ,Seed,,Bangaluru,India
SpeakIn,2018.0,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,,Seed,,Noida,India
LetsUp,2015.0,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar,Undisclosed,,Seed,,Mumbai,India
Newsreach,2018.0,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,,Seed,,Gujarat,India
Dream11,2008.0,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",225000000 ,Seed,,Mumbai,India
SignalX,2018.0,Hyderabad,SaaS,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,Undisclosed,750000 ,Seed,,Hyderabad,India
JetSynthesys,2012.0,Mumbai,Tech,Gaming and entertainment startup,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000 ,Seed,,Mumbai,India
Vesta Space Technology,2018.0,Pune,Tech,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,Undisclosed,10000000 ,Seed,,Pune,India
Dozee,2015.0,Bangaluru,HealthTech,Dozee offers health and wellness monitoring products.,Gaurav Parchani,Undisclosed,1600000 ,Seed,,Bangaluru,India
Rebel Foods,2011.0,Pune,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,50000000 ,Seed,,Pune,India
Nykaa,2012.0,Mumbai,Fashion,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,24700000 ,Seed,,Mumbai,India
Ketto,2012.0,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",7700000 ,Seed,,Mumbai,India
Suryoday,2008.0,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000 ,Seed,,Mumbai,India
