Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
iMerit,2012.0,Kolkata,IT,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,20000000 ,Series B,,Kolkata,India
BharatPe,2018.0,Delhi,Fintech,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000 ,Series C,,Delhi,India
Invideo,2015.0,Bangaluru,Visual Media,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,2500000 ,Seed,,Bangaluru,India
AvalonMeta,2017.0,Bangaluru,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,420000 ,Seed,,Bangaluru,India
Near Store,2015.0,Mumbai,Ecommerce,Enables a shop to create an online presence,Undisclosed,Sauce.vc,300000 ,Seed,,Mumbai,India
ElecTorq,2015.0,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,AdvantEdge,,Seed,,Delhi,India
Prayaan Capital,2015.0,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000 ,Seed,,Chennai,India
Sanfe,2015.0,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000 ,Pre series A,,Delhi,India
Go Desi,2018.0,Delhi,Foodtech,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300 ,Seed,,Delhi,India
Swiggy,2014.0,Bangaluru,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,113000000 ,Series A,,Bangaluru,India
Whatfix,2014.0,Bangaluru,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,32000000 ,Series C,,Bangaluru,India
Unacademy,2010.0,Bangaluru,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000 ,Series E,,Bangaluru,India
Zvesta,2015.0,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,5500000 ,Seed,,Gurugram,India
Dunzo,2014.0,Bangaluru,Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,11000000 ,Seed,,Bangaluru,India
Digit Insurance,2015.0,Bangaluru,Insurtech,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000 ,Seed,,Bangaluru,India
Yolo,2019.0,Gurugram,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000 ,Seed funding,,Gurugram,India
SmartVizX,2015.0,Bangaluru,VR & SaaS,It developed India’s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,1397000 ,Pre series A,,Bangaluru,India
MaxWholesale,2016.0,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000 ,Series A,,Delhi,India
Carbon Clean,2009.0,Bangaluru,Cleantech,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000 ,Seed,,Bangaluru,India
Onsitego,2015.0,Bangaluru,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,Mahipal,Zodius Growth Fund,19000000 ,Series B,,Bangaluru,India
Genius Corner,2014.0,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000 ,Seed,,Noida,India
PlanetSpark,2016.0,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",448500 ,Seed,,Gurugram,India
CamCom,2017.0,Bangaluru,AI & Deep learning,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",,Seed,,Bangaluru,India
Simsim,2015.0,Bangaluru,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",8000000 ,Series B,,Bangaluru,India
Shuttl,2015.0,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,7975700 ,Series C,,Delhi,India
HooLiv,2015.0,Delhi,Housing & Rentals,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office,,Seed,,Delhi,India
ClassMonitor,2015.0,Indore,Edtech,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,,Seed,,Indore,India
Friyey,2015.0,Pune,Co-working,Co working space startup,Yogesh Thore,Tarun Bhalla,,Seed,,Pune,India
Oga,2015.0,Bangaluru,Fitness,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,330000 ,Seed,,Bangaluru,India
Big Basket,2015.0,Bangaluru,Estore,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,3500000 ,Seed,,Bangaluru,India
CYFIRMA,2015.0,Bangaluru,SaaS,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,,Series A,,Bangaluru,India
